

"NE Report"
"Save Time: 10/12/2017 17:11:56"
"User Name:u2000tn-AndAlNesterenko"
""

"Total 523 Records"

"NE Name","NE Type","NE IP Address","NE MAC Address","NE ID","Software Version","Physical Location","Create Time","Fiber/Cable Count","Running Status","Subnet","Subnet Path","Alias","Remarks","Patch Version List","Customized Column","LSR ID","Maintenance Status","Gateway Type","Gateway","Optical NE","Subrack Type","Conference Call","Orderwire Phone","NE Subtype"
agg1-BeshtayDispetcher.PYATK,CX600,10.173.192.6,4C:1F:CC:9F:0B:5A,--,VRP5.120 V600R006C00,25026064231,09/26/2016 23:10:34,3,Normal,MEN Pyatigorsk,Physical Root / South / Stavropol / MEN Pyatigorsk,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.192.6,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
agg1-Oktjabrskaja1.PYATK,CX600,10.173.192.10,70:7B:E8:76:3E:6B,--,VRP5.120 V600R006C00,25026062203,09/26/2016 23:10:03,2,Normal,MEN Pyatigorsk,Physical Root / South / Stavropol / MEN Pyatigorsk,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.192.10,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
agg1-Ermolova30.PYATK,CX600,10.173.192.7,4C:1F:CC:9F:0B:4B,--,VRP5.120 V600R006C00,25026100308,09/26/2016 23:10:37,3,Normal,MEN Pyatigorsk,Physical Root / South / Stavropol / MEN Pyatigorsk,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.192.7,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
agg1-KislovodskShosse22.PYATK,CX600,10.173.192.8,4C:1F:CC:9F:0B:58,--,VRP5.120 V600R006C00,25026064250,09/26/2016 23:10:40,5,Normal,MEN Pyatigorsk,Physical Root / South / Stavropol / MEN Pyatigorsk,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.192.8,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
agg1-SadovoeKolco210.PYATK,CX600,10.173.192.11,70:7B:E8:76:3E:1D,--,VRP5.120 V600R006C00,25026061292,09/26/2016 23:10:05,2,Normal,MEN Pyatigorsk,Physical Root / South / Stavropol / MEN Pyatigorsk,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.192.11,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
acc1-2-Lomonosova25.STV,S5300,10.173.228.5,00:25:9E:FB:A4:12,--,VRP5.70 V100R006C01,25026066279,09/27/2016 00:33:45,0,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,Added By Manual,SPC100 SPH017,-,--,Normal,--,--,--,TYPE3,--,--,S5328C-EI-24S
acc24-2-Dovatortcev30v.STV,S3300,10.173.228.18,10:1B:54:BB:24:D1,--,VRP5.70 V100R006C01,25026103346,09/27/2016 00:32:01,1,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
agg1-SovetskojArmii19.PYATK,CX600,10.173.192.5,CC:CC:81:C0:9E:D2,--,VRP5.120 V600R006C00,25026100304,09/26/2016 23:10:31,2,Normal,MEN Pyatigorsk,Physical Root / South / Stavropol / MEN Pyatigorsk,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.192.5,Normal,Non-gateway,--,--,--,--,--,CX600-X2
agg1-Elektropodstanciya.PYATK,CX600,10.173.192.12,CC:CC:81:C0:CE:C4,--,VRP5.120 V600R006C00,25026064215,09/26/2016 23:10:08,1,Normal,MEN Pyatigorsk,Physical Root / South / Stavropol / MEN Pyatigorsk,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.192.12,Normal,Non-gateway,--,--,--,--,--,CX600-X2
agg1-KRTPC.ALKS,CX600,10.173.224.31,F8:4A:BF:68:9E:6E,--,VRP5.120 V600R006C00,25026065249,09/26/2016 23:11:38,3,Normal,MEN Alexandrovskoe,Physical Root / South / Stavropol / MEN Alexandrovskoe,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.224.31,Normal,Non-gateway,--,--,--,--,--,CX600-X2
